Zip Code,Lat,Long
92336,34.136367,-117.460803
92337,34.049671,-117.468896
92338,34.702766,-116.093376
92339,34.067699,-116.903891
92341,34.244411,-117.072654
92342,34.757783,-117.33997
92344,34.4239,-117.4075
92345,34.361387,-117.337509
92346,34.129677,-117.154277
92347,34.983808,-117.239306
92350,34.0483,-117.2612
92352,34.2565,-117.19335
92354,34.049315,-117.255974
92356,34.508417,-116.856103
92358,34.238162,-117.534306
92359,34.103578,-117.04054
92363,34.711224,-114.702256
92364,35.478736,-115.516984
92365,34.89326,-116.505958
92368,34.647959,-117.296957
92371,34.441123,-117.537886
92372,34.459322,-117.629729
92373,34.003243,-117.138286
92374,34.064073,-117.166158
92376,34.109775,-117.378904
92377,34.156758,-117.404686
92378,34.2297,-117.225
92382,34.186211,-117.07683
92384,35.924252,-116.188668
92385,34.2353,-117.1792
92386,34.243088,-116.830015
92389,35.824572,-116.274755
92391,34.2379,-117.2348
92392,34.486835,-117.362274
92394,34.567058,-117.362329
92395,34.5016,-117.2944
92397,34.358321,-117.618263
92398,35.013299,-116.834092
92399,34.04597,-117.011825
92401,34.105935,-117.2914
92404,34.183286,-117.221722
92405,34.142747,-117.300864
92407,34.250069,-117.393949
92408,34.084909,-117.258107
92410,34.106922,-117.297553
92411,34.122501,-117.320138
92415,34.1083,-117.2898
92501,33.994676,-117.372498
92503,33.890046,-117.455583
92504,33.9108,-117.398153
92505,33.920907,-117.489426
92506,33.930931,-117.361788
92507,33.976328,-117.319786
92508,33.885499,-117.324959
92509,34.004379,-117.447864
92518,33.888323,-117.277533
92521,33.9533,-117.3962
92530,33.655421,-117.391751
92532,33.705836,-117.318204
92536,33.482243,-116.827173
92539,33.527605,-116.666551
92543,33.739415,-116.968339
92544,33.644585,-116.871544
92545,33.734933,-117.044145
92548,33.761894,-117.120868
92549,33.755039,-116.741796
92551,33.88274,-117.224878
92553,33.923149,-117.244933
92555,33.907361,-117.109972
92557,33.970661,-117.255039
92561,33.638645,-116.55783
92562,33.548869,-117.334165
92563,33.581045,-117.14719
92567,33.82769,-117.102244
92570,33.787298,-117.320676
92571,33.828289,-117.201666
92582,33.806708,-117.02007
92583,33.796568,-116.924723
92584,33.653338,-117.178271
92585,33.739412,-117.173334
92586,33.707483,-117.200006
92587,33.69887,-117.25071
92590,33.475493,-117.219551
92591,33.540604,-117.10909
92592,33.507255,-117.029473
92595,33.617108,-117.253349
92596,33.657433,-117.04254
92602,33.720359,-117.733655
92603,33.6245,-117.794
92604,33.688546,-117.788091
92606,33.703976,-117.824172
92610,33.698728,-117.67768
92612,33.643095,-117.810896
92614,33.680302,-117.833296
92617,33.6425,-117.8417
92618,33.667145,-117.732135
92620,33.716136,-117.752574
92624,33.458754,-117.665104
92625,33.600987,-117.862734
92626,33.678591,-117.905471
92627,33.645672,-117.922613
92629,33.477923,-117.705314
92630,33.644849,-117.684254
92637,33.6103,-117.7253
92646,33.666301,-117.969501
92647,33.723579,-118.005441
92648,33.679659,-118.016195
92649,33.721917,-118.043237
92651,33.570023,-117.773669
92653,33.606899,-117.717854
92655,33.744439,-117.98588
92656,33.571259,-117.731917
92657,33.603282,-117.821841
92660,33.634626,-117.874882
92661,33.601309,-117.902304
92662,33.606336,-117.893042
92663,33.62251,-117.927024
92672,33.429488,-117.609432
92673,33.4725,-117.584273
92675,33.521447,-117.602555
92676,33.782346,-117.635263
92677,33.529047,-117.701175
92679,33.631119,-117.567346
92683,33.752591,-117.993661
92688,33.624654,-117.611733
92691,33.611945,-117.665867
92692,33.60693,-117.644253
92694,33.569186,-117.640055
92697,33.6485,-117.8387
92701,33.748478,-117.858918
92703,33.748635,-117.906125
92704,33.719869,-117.907063
92705,33.766004,-117.786763
92706,33.765893,-117.881533
92707,33.714829,-117.872941
92708,33.712036,-117.950113
92780,33.735802,-117.818805
92782,33.738543,-117.785046
92801,33.844983,-117.952151
92802,33.807864,-117.923782
92804,33.818,-117.974404
92805,33.830209,-117.906099
92806,33.83796,-117.870494
92807,33.848733,-117.788357
92808,33.850452,-117.726668
92821,33.930199,-117.862898
92823,33.924143,-117.79387
92831,33.879983,-117.895482
92832,33.868316,-117.929029
92833,33.877639,-117.961212
92835,33.902211,-117.914922
92840,33.787165,-117.931889
92841,33.786738,-117.982564
92843,33.764018,-117.931507
92844,33.766476,-117.969795
92845,33.782955,-118.026456
92860,33.925833,-117.559639
92861,33.817473,-117.810462
92865,33.828779,-117.848299
92866,33.784597,-117.844535
92867,33.81859,-117.821288
92868,33.787796,-117.875928
92869,33.792791,-117.789749
92870,33.881158,-117.854783
92879,33.893823,-117.531446
92880,33.918043,-117.617809
92881,33.833686,-117.513063
92882,33.819385,-117.600213
92883,33.762351,-117.488725
92886,33.897253,-117.792202
92887,33.884073,-117.732197
93001,34.360261,-119.306383
93003,34.279221,-119.221437
93004,34.278697,-119.167798
